color,price,model,specs,engine,bodytype,mileage,city
White,"$15,110 ",2014 Hyundai Sonata Limited Edition,"Used 2014 Hyundai Sonata Limited Edition with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,Sedan,"Mileage: 43,596 miles",Boston
Gray,"$24,350 ",2014 GMC Acadia SLT,"Used 2014 GMC Acadia SLT with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,SUV,"Mileage: 59,320 miles",Boston
Black,"$29,999 ",2015 Toyota Tacoma Base,"Used 2015 Toyota Tacoma Base with 4WD, Double Cab, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers",6 Cyl,Pickup,"Mileage: 25,024 miles",Boston
Gray,"$22,590 ",2016 Nissan Maxima S,"Used 2016 Nissan Maxima S with FWD, Remote Start, Fog Lights, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering",6 Cyl,Sedan,"Mileage: 21,596 miles",Boston
Gray,"$35,500 ",2015 Ford F-150 XLT,"Used 2015 Ford F-150 XLT with 4WD, Remote Start, Fog Lights, Keyless Entry, Heated Seats, Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, 4-Wheel Disc Brakes",8 Cyl,Pickup,"Mileage: 17,057 miles",Boston
White,"$27,988 ",2014 Mercedes-Benz E-Class E 350,"Used 2014 Mercedes-Benz E-Class E 350 with AWD, Power Sun/Moonroof, Air Conditioning, Power Steering, Trip Computer, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors",6 Cyl,Sedan,"Mileage: 52,742 miles",Boston
Gray,"$26,000 ",2014 Chevrolet Traverse LTZ,"Used 2014 Chevrolet Traverse LTZ with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 32,017 miles",Boston
Silver,"$25,995 ",2014 Jeep Grand Cherokee Overland,"Used 2014 Jeep Grand Cherokee Overland with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera",6 Cyl,SUV,"Mileage: 52,141 miles",Boston
Gray,"$17,980 ",2015 Chrysler Town & Country Touring,"Used 2015 Chrysler Town & Country Touring with FWD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, DVD",6 Cyl,Minivan,"Mileage: 20,269 miles",Boston
White,"$33,500 ",2014 Ford F-150 Lariat,"Used 2014 Ford F-150 Lariat with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,Pickup,"Mileage: 32,573 miles",Boston
Black,"$20,900 ",2015 Kia Sorento EX,"Used 2015 Kia Sorento EX with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 30,604 miles",Boston
Blue,"$27,439 ",2015 Volvo XC70 T6,"Used 2015 Volvo XC70 T6 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,Wagon,"Mileage: 58,278 miles",Boston
White,"$18,350 ",2014 GMC Terrain SLT,"Used 2014 GMC Terrain SLT with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 62,559 miles",Boston
Gray,"$46,995 ",2015 BMW X5 xDrive50i,"Used 2015 BMW X5 xDrive50i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",8 Cyl,SUV,"Mileage: 36,262 miles",Boston
Blue,"$17,550 ",2015 Chrysler Town & Country Touring,"Used 2015 Chrysler Town & Country Touring with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera",6 Cyl,Minivan,"Mileage: 25,247 miles",Boston
Silver,"$19,023 ",2014 Honda CR-V EXL,"Used 2014 Honda CR-V EXL with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,SUV,"Mileage: 43,930 miles",Boston
Black,"$13,000 ",2014 Mazda Mazda3 i Touring,"Used 2014 Mazda Mazda3 i Touring with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, DVD, Air Conditioning, MP3",4 Cyl,Sedan,"Mileage: 35,500 miles",Boston
Unspecified,"$23,999 ",2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with 4WD, Fog Lights, Third Row Seating, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, Trip Computer, Intermittent Wipers, Power Locks",6 Cyl,SUV,"Mileage: 44,423 miles",Boston
Black,"$27,855 ",2014 Ford F-150 STX,"Used 2014 Ford F-150 STX with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning, MP3",8 Cyl,Pickup,"Mileage: 49,456 miles",Boston
Gray,"$19,985 ",2014 Toyota Venza LE,"Used 2014 Toyota Venza LE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats",6 Cyl,Wagon,"Mileage: 33,499 miles",Boston
Blue,"$16,000 ",2015 Volkswagen Tiguan S,"Used 2015 Volkswagen Tiguan S with AWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning, MP3",4 Cyl,SUV,"Mileage: 16,097 miles",Boston
Orange,"$10,390 ",2013 Dodge Dart Limited,"Used 2013 Dodge Dart Limited with FWD, Leather Seats, Power Sun/Moonroof, Navigation System, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, AM/FM",4 Cyl,Sedan,"Mileage: 37,006 miles",Boston
Black,"$15,000 ",2013 Ford Edge SE,"Used 2013 Ford Edge SE with AWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning, MP3",6 Cyl,SUV,"Mileage: 43,080 miles",Boston
Beige,"$20,000 ",2014 Lincoln MKZ,"Used 2014 Lincoln MKZ with AWD, Remote Start, Leather Seats, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, AM/FM, Trip Computer, Power Seat (Driver), Power Locks",4 Cyl,Sedan,"Mileage: 25,823 miles",Boston
Gold,"$16,380 ",2014 Honda Accord Sport,"Used 2014 Honda Accord Sport with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,Sedan,"Mileage: 27,491 miles",Boston
Black,"$24,500 ",2014 Ford F-150 STX,"Used 2014 Ford F-150 STX with 4WD, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Intermittent Wipers, Power Locks, Power Mirrors",8 Cyl,Pickup,"Mileage: 28,756 miles",Boston
Gray,"$20,577 ",2016 Hyundai Santa Fe Sport,"Used 2016 Hyundai Santa Fe Sport with AWD, Leather Seats, Alloy Wheels, Cloth Seats",4 Cyl,SUV,"Mileage: 8,677 miles",Boston
Black,"$22,599 ",2014 BMW 3 Series 328i xDrive,"Used 2014 BMW 3 Series 328i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",4 Cyl,Sedan,"Mileage: 33,370 miles",Boston
White,"$17,556 ",2014 Volvo S60 T5,"Used 2014 Volvo S60 T5 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",5 Cyl,Sedan,"Mileage: 44,984 miles",Boston
Silver,"$18,042 ",2008 Lexus RX 400h,"Used 2008 Lexus RX 400h with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, Trip Computer, Intermittent Wipers",6 Cyl,SUV,"Mileage: 50,155 miles",Boston
Beige,"$17,490 ",2014 Subaru Outback 2.5i Limited,"Used 2014 Subaru Outback 2.5i Limited with AWD, Leather Seats, Power Sun/Moonroof, Heated Seats, CD (Single Disc), Rear-View Camera, AM/FM",4 Cyl,Wagon,"Mileage: 71,364 miles",Boston
Red,"$46,000 ",2016 Volvo XC90 T6 R-Design,"Used 2016 Volvo XC90 T6 R-Design with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Third Row Seating, Navigation System, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Locks",4 Cyl,SUV,"Mileage: 31,266 miles",Boston
Gray,"$29,995 ",2015 Acura MDX Technology,"Used 2015 Acura MDX Technology with AWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 57,493 miles",Boston
White,"$24,350 ",2015 Acura RDX,"Used 2015 Acura RDX with AWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,SUV,"Mileage: 30,599 miles",Boston
White,"$27,995 ",2015 Mercedes-Benz GLA 250,"Used 2015 Mercedes-Benz GLA 250 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,SUV,"Mileage: 35,483 miles",Boston
Gray,"$7,494 ",2010 Mazda Mazda3,"Used 2010 Mazda Mazda3 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,Sedan,"Mileage: 95,687 miles",Boston
Silver,"$8,500 ",2005 Lexus ES 330,"Used 2005 Lexus ES 330 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM",6 Cyl,Sedan,"Mileage: 87,574 miles",Boston
Blue,"$10,395 ",2015 Hyundai Sonata Sport,"Used 2015 Hyundai Sonata Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,Sedan,"Mileage: 91,703 miles",Boston
Blue,"$64,999 ",2014 Maserati GranTurismo Sport,"Used 2014 Maserati GranTurismo Sport with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3",8 Cyl,Coupe,"Mileage: 14,775 miles",Boston
White,"$25,888 ",2014 Nissan Armada Platinum Edition,"Used 2014 Nissan Armada Platinum Edition with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Third Row Seating, Navigation System, Cruise Control, Heated Seats, Air Conditioning, Trip Computer, Power Seat (Driver)",8 Cyl,SUV,"Mileage: 95,127 miles",Boston
Blue,"$17,995 ",2016 Nissan Altima,"Used 2016 Nissan Altima with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",4 Cyl,Sedan,"Mileage: 8,673 miles",Boston
White,"$12,000 ",2014 Honda Civic LX,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 27,148 miles",Boston
Red,"$17,880 ",2015 Hyundai Tucson GLS,"Used 2015 Hyundai Tucson GLS with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,SUV,"Mileage: 15,069 miles",Boston
Red,"$29,864 ",2014 Jeep Wrangler Sahara,"Used 2014 Jeep Wrangler Sahara with 4WD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",6 Cyl,SUV,"Mileage: 41,217 miles",Boston
Gray,"$12,158 ",2015 Volkswagen Jetta S,"Used 2015 Volkswagen Jetta S with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Handsfree/Bluetooth Integration",4 Cyl,Sedan,"Mileage: 28,156 miles",Boston
Black,"$21,495 ",2014 Jeep Grand Cherokee Laredo,"Used 2014 Jeep Grand Cherokee Laredo with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",6 Cyl,SUV,"Mileage: 35,796 miles",Boston
Black,"$50,999 ",2017 Mercedes-Benz C-Class AMG C 43,"Used 2017 Mercedes-Benz C-Class AMG C 43 with AWD, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,Sedan,"Mileage: 4,304 miles",Boston
Black,"$19,990 ",2013 Hyundai Santa Fe Sport,"Used 2013 Hyundai Santa Fe Sport with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats",4 Cyl,SUV,"Mileage: 25,003 miles",Boston
White,"$20,775 ",2015 Toyota Venza LE,"Used 2015 Toyota Venza LE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,Wagon,"Mileage: 21,324 miles",Boston
Silver,"$29,975 ",2015 BMW 3 Series 328i xDrive,"Used 2015 BMW 3 Series 328i xDrive with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering",4 Cyl,Hatchback,"Mileage: 29,351 miles",Boston
Blue,"$6,995 ",2007 Honda Odyssey EX,"Used 2007 Honda Odyssey EX with FWD, Third Row Seating, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",6 Cyl,Minivan,"Mileage: 118,768 miles",Boston
Black,"$18,990 ",2013 Acura TSX Technology,"Used 2013 Acura TSX Technology with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD",4 Cyl,Sedan,"Mileage: 16,628 miles",Boston
Red,"$21,361 ",2015 Jeep Cherokee Latitude,"Used 2015 Jeep Cherokee Latitude with 4WD, Fog Lights, Alloy Wheels, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",6 Cyl,SUV,"Mileage: 10,033 miles",Boston
Black,"$17,490 ",2015 Honda CR-V LX,"Used 2015 Honda CR-V LX with AWD, Rear-View Camera",4 Cyl,SUV,"Mileage: 27,871 miles",Boston
Silver,"$14,999 ",2013 Chevrolet Camaro LT,"Used 2013 Chevrolet Camaro LT with RWD, Fog Lights, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM, Aux Audio Adapter",6 Cyl,Coupe,"Mileage: 60,769 miles",Boston
Gray,"$14,616 ",2007 Mercedes-Benz GL-Class GL 450,"Used 2007 Mercedes-Benz GL-Class GL 450 with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Heated Seats, Split/Folding Seats, DVD, Air Conditioning",8 Cyl,SUV,"Mileage: 82,081 miles",Boston
Gold,"$6,495 ",2009 Toyota Camry,"Used 2009 Toyota Camry with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter",4 Cyl,Sedan,"Mileage: 121,260 miles",Boston
Gray,"$29,790 ",2015 Audi Q5 Premium,"Used 2015 Audi Q5 Premium with AWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3, AM/FM",4 Cyl,SUV,"Mileage: 38,183 miles",Boston
Blue,"$19,420 ",2015 Volkswagen Golf SE,"Used 2015 Volkswagen Golf SE with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM",4 Cyl,Wagon,"Mileage: 36,166 miles",Boston
Black,"$14,600 ",2015 Ford Fusion SE,"Used 2015 Ford Fusion SE with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning",4 Cyl,Sedan,"Mileage: 27,429 miles",Boston
White,"$25,900 ",2014 Hyundai Equus Signature,"Used 2014 Hyundai Equus Signature with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, DVD",8 Cyl,Sedan,"Mileage: 50,869 miles",Boston
Unspecified,"$34,888 ",2014 BMW X5 xDrive35i,"Used 2014 BMW X5 xDrive35i with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Trip Computer",6 Cyl,SUV,"Mileage: 46,251 miles",Boston
White,"$13,300 ",2014 Chevrolet Malibu LS,"Used 2014 Chevrolet Malibu LS with FWD, Alloy Wheels, Navigation System, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,Sedan,"Mileage: 15,301 miles",Boston
Orange,"$10,839 ",2013 Hyundai Veloster,"Used 2013 Hyundai Veloster with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",4 Cyl,Hatchback,"Mileage: 51,965 miles",Boston
Blue,"$19,987 ",2014 Chevrolet Traverse LS,"Used 2014 Chevrolet Traverse LS with AWD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",6 Cyl,SUV,"Mileage: 33,917 miles",Boston
Silver,"$17,491 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",4 Cyl,SUV,"Mileage: 40,298 miles",Boston
Silver,"$14,488 ",2014 Ford Escape SE,"Used 2014 Ford Escape SE with FWD, Fog Lights, Keyless Entry, Cruise Control, Satellite Radio, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Seat (Driver), Intermittent Wipers",4 Cyl,SUV,"Mileage: 29,572 miles",Boston
White,"$26,500 ",2015 Jeep Wrangler Sahara,"Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Power Mirrors",6 Cyl,SUV,"Mileage: 26,544 miles",Boston
Brown,"$11,786 ",2010 Ford Edge Limited,"Used 2010 Ford Edge Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,SUV,"Mileage: 96,242 miles",Boston
Silver,"$18,995 ",2014 BMW X1 xDrive35i,"Used 2014 BMW X1 xDrive35i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",6 Cyl,SUV,"Mileage: 57,894 miles",Boston
Silver,"$12,994 ",2015 Nissan Sentra S,"Used 2015 Nissan Sentra S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 23,590 miles",Boston
Gray,"$7,490 ",2010 Hyundai Sonata GLS,"Used 2010 Hyundai Sonata GLS with FWD, Navigation System, Keyless Entry, Cruise Control, Satellite Radio, Cloth Seats, Power Steering, Intermittent Wipers, Power Locks, Rear Window Defroster, Power Mirrors",4 Cyl,Sedan,"Mileage: 81,715 miles",Boston
Black,"$23,995 ",2016 Cadillac XTS Luxury,"Used 2016 Cadillac XTS Luxury with AWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,Sedan,"Mileage: 57,967 miles",Boston
Gray,"$10,999 ",2012 Toyota Prius c Three,"Used 2012 Toyota Prius c Three with FWD, Navigation System, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",4 Cyl,Hatchback,"Mileage: 45,154 miles",Boston
Blue,"$24,990 ",2014 BMW 4 Series 428i xDrive,"Used 2014 BMW 4 Series 428i xDrive with AWD, Navigation System, Heated Seats, CD (Single Disc), Rear-View Camera, MP3, AM/FM, Handsfree/Bluetooth Integration",4 Cyl,Coupe,"Mileage: 37,735 miles",Boston
Gray,"$18,560 ",2015 Buick Encore Convenience,"Used 2015 Buick Encore Convenience with AWD, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Power Seat (Driver), Power Locks",4 Cyl,SUV,"Mileage: 26,203 miles",Boston
Black,"$20,282 ",2013 Ford Explorer XLT,"Used 2013 Ford Explorer XLT with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",6 Cyl,SUV,"Mileage: 46,229 miles",Boston
Beige,"$14,486 ",2015 Chevrolet Malibu LS,"Used 2015 Chevrolet Malibu LS with FWD, Cruise Control, Air Conditioning, Cloth Seats, Power Steering, AM/FM, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",4 Cyl,Sedan,"Mileage: 14,021 miles",Boston
Black,"$18,190 ",2013 GMC Terrain SLT,"Used 2013 GMC Terrain SLT with AWD, Remote Start, Leather Seats, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, AM/FM",6 Cyl,SUV,"Mileage: 43,492 miles",Boston
Blue,"$23,590 ",2015 Jeep Grand Cherokee Laredo,"Used 2015 Jeep Grand Cherokee Laredo with 4WD, Remote Start, Alloy Wheels, Heated Seats, Satellite Radio, AM/FM, Power Seat (Driver)",6 Cyl,SUV,"Mileage: 43,969 miles",Boston
Silver,"$11,518 ",2010 Toyota RAV4 Sport,"Used 2010 Toyota RAV4 Sport with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,SUV,"Mileage: 94,725 miles",Boston
Red,"$28,988 ",2014 Ford F-150 XL,"Used 2014 Ford F-150 XL with 4WD, Keyless Entry, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Intermittent Wipers, Power Locks, Front Airbags (Driver), Power Mirrors",6 Cyl,Pickup,"Mileage: 35,946 miles",Boston
Unspecified,"$45,775 ",2017 BMW X4 xDrive28i,"Used 2017 BMW X4 xDrive28i with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 8,218 miles",Boston
Red,"$15,170 ",2016 Volkswagen Jetta SEL,"Used 2016 Volkswagen Jetta SEL with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,Sedan,"Mileage: 12,661 miles",Boston
Unspecified,"$27,300 ",2014 Jeep Grand Cherokee Limited Edition,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,SUV,"Mileage: 29,719 miles",Boston
White,"$35,000 ",2016 BMW X1 xDrive28i,"Used 2016 BMW X1 xDrive28i with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD",4 Cyl,SUV,Mileage: 993 miles,Boston
Silver,"$16,460 ",2014 GMC Terrain SLE,"Used 2014 GMC Terrain SLE with AWD, Fog Lights, Alloy Wheels, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,SUV,"Mileage: 49,023 miles",Boston
Gray,"$18,599 ",2014 Jeep Cherokee Limited Edition,"Used 2014 Jeep Cherokee Limited Edition with 4WD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM, 4-Wheel Disc Brakes",6 Cyl,SUV,"Mileage: 64,001 miles",Boston
White,"$30,785 ",2015 Honda Pilot EXL,"Used 2015 Honda Pilot EXL with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Third Row Seating, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,SUV,"Mileage: 26,546 miles",Boston
White,"$19,992 ",2015 Toyota Venza LE,"Used 2015 Toyota Venza LE with AWD, Alloy Wheels, Cloth Seats",4 Cyl,Wagon,"Mileage: 28,770 miles",Boston
