specs,price,color,mileage,bodytype,engine,model,city
"Used 2015 Chevrolet Equinox LS with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$16,977 ",Silver,"Mileage: 19,075 miles",SUV,4 Cyl,2015 Chevrolet Equinox LS,WashingtonDC
"Used 2015 Mercedes-Benz GL-Class GL 450 with AWD, Front Airbags (Driver)","$39,999 ",Silver,"Mileage: 51,687 miles",SUV,6 Cyl,2015 Mercedes-Benz GL-Class GL 450,WashingtonDC
"Used 2015 Lexus RX 350 with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Windows, Trip Computer","$27,999 ",Gray,"Mileage: 35,637 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2015 Mercedes-Benz S-Class S 550 with AWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, DVD, Air Conditioning, Power Windows, AM/FM, Trip Computer","$61,999 ",Black,"Mileage: 35,266 miles",Sedan,8 Cyl,2015 Mercedes-Benz S-Class S 550,WashingtonDC
"Used 2014 Chevrolet Cruze LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$9,976 ",Black,"Mileage: 58,096 miles",Sedan,4 Cyl,2014 Chevrolet Cruze LT,WashingtonDC
"Used 2010 Mazda CX-7 with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$5,995 ",White,"Mileage: 123,120 miles",SUV,4 Cyl,2010 Mazda CX-7,WashingtonDC
"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Trip Computer","$12,495 ",Black,"Mileage: 28,107 miles",Sedan,4 Cyl,2014 Honda Civic LX,WashingtonDC
"Used 2013 GMC Acadia SLT with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Windows","$25,990 ",Silver,"Mileage: 32,178 miles",SUV,6 Cyl,2013 GMC Acadia SLT,WashingtonDC
"Used 2016 Chevrolet Colorado Z71 with 4WD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio","$31,598 ",Black,"Mileage: 11,114 miles",Pickup,6 Cyl,2016 Chevrolet Colorado Z71,WashingtonDC
"Used 2014 Chevrolet Equinox LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Windows, AM/FM, Power Seat (Driver)","$16,954 ",Black,"Mileage: 23,866 miles",SUV,6 Cyl,2014 Chevrolet Equinox LT,WashingtonDC
"Used 2015 Chevrolet Traverse LS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Windows, AM/FM, Power Locks","$19,563 ",Silver,"Mileage: 38,816 miles",SUV,6 Cyl,2015 Chevrolet Traverse LS,WashingtonDC
"Used 2014 Honda Civic EXL with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering","$14,490 ",Black,"Mileage: 33,192 miles",Coupe,4 Cyl,2014 Honda Civic EXL,WashingtonDC
"Used 2014 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Windows, Trip Computer, Power Locks, Rear Window Defroster, Front Airbags (Driver)","$12,995 ",Silver,"Mileage: 14,815 miles",Sedan,4 Cyl,2014 Toyota Corolla LE,WashingtonDC
"Used 2014 BMW X1 xDrive35i with AWD, Navigation System, Keyless Entry, Heated Seats, Rear-View Camera, Satellite Radio, Handsfree/Bluetooth Integration","$25,750 ",Gray,"Mileage: 32,002 miles",SUV,6 Cyl,2014 BMW X1 xDrive35i,WashingtonDC
"Used 2016 Toyota RAV4 LE with FWD, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$18,799 ",Gray,"Mileage: 28,360 miles",SUV,4 Cyl,2016 Toyota RAV4 LE,WashingtonDC
"Used 2012 Nissan Rogue S with FWD, Alloy Wheels, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers, Rear Window Defroster","$11,400 ",Gray,"Mileage: 59,120 miles",SUV,4 Cyl,2012 Nissan Rogue S,WashingtonDC
"Used 2013 BMW X1 xDrive28i with AWD, Fog Lights, Air Conditioning, Satellite Radio, 4-Wheel Disc Brakes, Trip Computer, Rear Window Defroster, Power Mirrors","$18,893 ",Gray,"Mileage: 54,138 miles",SUV,4 Cyl,2013 BMW X1 xDrive28i,WashingtonDC
"Used 2015 Kia Optima LX with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats","$14,400 ",Silver,"Mileage: 10,480 miles",Sedan,4 Cyl,2015 Kia Optima LX,WashingtonDC
"Used 2014 Lexus CT 200h with FWD, Rear-View Camera, Handsfree/Bluetooth Integration","$21,950 ",Gray,"Mileage: 27,346 miles",Hatchback,4 Cyl,2014 Lexus CT 200h,WashingtonDC
"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio","$26,672 ",Silver,"Mileage: 35,914 miles",SUV,6 Cyl,2014 Jeep Grand Cherokee Limited Edition,WashingtonDC
"Used 2015 Chevrolet Silverado 1500 LT with 4WD, Double Cab, Remote Start, Fog Lights, Trailer Hitch, Heated Seats, Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio","$33,404 ",Gray,"Mileage: 5,229 miles",Pickup,8 Cyl,2015 Chevrolet Silverado 1500 LT,WashingtonDC
"Used 2014 BMW 5 Series 535i xDrive with AWD, Navigation System, Rear-View Camera","$31,950 ",Gray,"Mileage: 38,832 miles",Sedan,6 Cyl,2014 BMW 5 Series 535i xDrive,WashingtonDC
"Used 2014 BMW X5 xDrive35i with AWD, Alloy Wheels, Navigation System, Rear-View Camera","$39,850 ",Black,"Mileage: 29,136 miles",SUV,6 Cyl,2014 BMW X5 xDrive35i,WashingtonDC
"Used 2014 BMW X6 xDrive35i with AWD, Navigation System, Rear-View Camera","$38,950 ",Black,"Mileage: 38,121 miles",SUV,6 Cyl,2014 BMW X6 xDrive35i,WashingtonDC
"Used 2014 BMW X3 xDrive35i with AWD, Navigation System, Rear-View Camera","$29,850 ",Silver,"Mileage: 18,708 miles",SUV,6 Cyl,2014 BMW X3 xDrive35i,WashingtonDC
"Used 2013 Chevrolet Camaro LT with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3","$14,446 ",Gray,"Mileage: 80,504 miles",Coupe,6 Cyl,2013 Chevrolet Camaro LT,WashingtonDC
"Used 2015 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$17,598 ",Gray,"Mileage: 45,188 miles",SUV,4 Cyl,2015 Toyota RAV4 XLE,WashingtonDC
"Used 2014 Toyota Corolla S with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows","$13,898 ",White,"Mileage: 33,772 miles",Sedan,4 Cyl,2014 Toyota Corolla S,WashingtonDC
"Used 2014 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM","$12,998 ",Blue,"Mileage: 31,474 miles",Sedan,4 Cyl,2014 Toyota Corolla S,WashingtonDC
"Used 2014 Toyota RAV4 Limited Edition with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera","$17,998 ",Black,"Mileage: 64,366 miles",SUV,4 Cyl,2014 Toyota RAV4 Limited Edition,WashingtonDC
"Used 2014 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Power Locks, Rear Window Defroster","$12,198 ",Black,"Mileage: 36,443 miles",Sedan,4 Cyl,2014 Toyota Corolla LE,WashingtonDC
"Used 2014 Toyota Camry SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM","$13,718 ",Gray,"Mileage: 33,893 miles",Sedan,4 Cyl,2014 Toyota Camry SE,WashingtonDC
"Used 2015 Jeep Cherokee Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Satellite Radio, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer","$13,900 ",Green,"Mileage: 36,973 miles",SUV,4 Cyl,2015 Jeep Cherokee Sport,WashingtonDC
"Used 2010 Honda Civic LX with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, DVD, Air Conditioning, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks","$8,250 ",Blue,"Mileage: 74,987 miles",Sedan,4 Cyl,2010 Honda Civic LX,WashingtonDC
"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning","$27,291 ",White,"Mileage: 30,808 miles",SUV,6 Cyl,2014 Jeep Grand Cherokee Limited Edition,WashingtonDC
"Used 2015 Ram 1500 with 4WD, Remote Start, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning","$30,391 ",Blue,"Mileage: 19,251 miles",Pickup,8 Cyl,2015 Ram 1500,WashingtonDC
"Used 2015 Ford Explorer XLT with 4WD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, AM/FM, Power Seat (Driver), Power Locks, Rear Window Defroster","$28,799 ",Black,"Mileage: 23,875 miles",SUV,6 Cyl,2015 Ford Explorer XLT,WashingtonDC
"Used 2014 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, AM/FM, Power Seat (Driver), Power Locks, Rear Window Defroster","$13,997 ",Black,"Mileage: 15,006 miles",Sedan,4 Cyl,2014 Ford Fusion SE,WashingtonDC
"Used 2015 Scion tC Base with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, AM/FM, Power Locks, Rear Window Defroster, Power Mirrors","$13,775 ",Red,"Mileage: 24,030 miles",Hatchback,4 Cyl,2015 Scion tC Base,WashingtonDC
"Used 2015 Ford Escape S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Windows, AM/FM, Power Locks, Rear Window Defroster, Power Mirrors","$15,757 ",Black,"Mileage: 8,692 miles",SUV,4 Cyl,2015 Ford Escape S,WashingtonDC
,"$15,995 ",Unspecified,"Mileage: 21,688 miles",SUV,4 Cyl,2016 Ford Escape S,WashingtonDC
"Used 2015 Toyota Corolla LE with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Power Locks","$13,495 ",White,"Mileage: 12,858 miles",Sedan,4 Cyl,2015 Toyota Corolla LE,WashingtonDC
"Used 2014 Lexus GX 460 with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$38,937 ",White,"Mileage: 43,075 miles",SUV,8 Cyl,2014 Lexus GX 460,WashingtonDC
"Used 2015 Chevrolet Corvette Z51 with RWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio","$53,987 ",Black,"Mileage: 2,256 miles",Coupe,8 Cyl,2015 Chevrolet Corvette Z51,WashingtonDC
"Used 2014 BMW X5 xDrive50i with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3","$49,990 ",Gray,"Mileage: 13,102 miles",SUV,8 Cyl,2014 BMW X5 xDrive50i,WashingtonDC
"Used 2014 Lexus ES 350 with FWD, Leather Seats, Fog Lights, Cruise Control, Air Conditioning, Satellite Radio, Power Steering, AM/FM, Aux Audio Adapter, Power Seat (Driver), Intermittent Wipers","$23,695 ",Blue,"Mileage: 28,280 miles",Sedan,6 Cyl,2014 Lexus ES 350,WashingtonDC
"Used 2015 Lexus NX 200t with FWD, Fog Lights, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM","$28,995 ",Black,"Mileage: 13,194 miles",SUV,4 Cyl,2015 Lexus NX 200t,WashingtonDC
"Used 2015 Hyundai Santa Fe Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$17,490 ",Blue,"Mileage: 21,579 miles",SUV,4 Cyl,2015 Hyundai Santa Fe Sport,WashingtonDC
"Used 2013 Jeep Grand Cherokee Laredo with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3","$20,990 ",Black,"Mileage: 47,171 miles",SUV,6 Cyl,2013 Jeep Grand Cherokee Laredo,WashingtonDC
"Used 2014 Hyundai Elantra Limited Edition with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning","$12,490 ",Silver,"Mileage: 48,475 miles",Sedan,4 Cyl,2014 Hyundai Elantra Limited Edition,WashingtonDC
"Used 2015 Hyundai Santa Fe Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$17,490 ",Blue,"Mileage: 21,579 miles",SUV,4 Cyl,2015 Hyundai Santa Fe Sport,WashingtonDC
"Used 2014 Lexus GX 460 with 4WD, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering","$37,395 ",Black,"Mileage: 30,314 miles",SUV,8 Cyl,2014 Lexus GX 460,WashingtonDC
"Used 2007 Honda Civic LX with FWD, CD (Single Disc), Aux Audio Adapter","$5,994 ",Gray,"Mileage: 127,139 miles",Sedan,4 Cyl,2007 Honda Civic LX,WashingtonDC
"Used 2015 Lexus RX 450h with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, DVD, Air Conditioning","$31,995 ",Silver,"Mileage: 53,614 miles",SUV,6 Cyl,2015 Lexus RX 450h,WashingtonDC
"Used 2015 Hyundai Elantra SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$8,990 ",Black,"Mileage: 65,909 miles",Sedan,4 Cyl,2015 Hyundai Elantra SE,WashingtonDC
"Used 2015 Ford Fiesta S with FWD, Air Conditioning, Power Steering, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Front Airbags (Driver), Power Mirrors","$7,625 ",Black,"Mileage: 48,741 miles",Sedan,4 Cyl,2015 Ford Fiesta S,WashingtonDC
"Used 2013 Hyundai Tucson Limited Edition with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$16,888 ",Red,"Mileage: 55,041 miles",SUV,4 Cyl,2013 Hyundai Tucson Limited Edition,WashingtonDC
"Used 2014 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Air Conditioning, MP3, Satellite Radio, Power Steering","$23,395 ",Gray,"Mileage: 59,132 miles",Sedan,6 Cyl,2014 Lexus ES 350,WashingtonDC
"Used 2015 Lexus NX 200t with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$29,998 ",Gray,"Mileage: 30,800 miles",SUV,4 Cyl,2015 Lexus NX 200t,WashingtonDC
"Used 2013 Hyundai Accent GLS with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Aux Audio Adapter","$6,988 ",White,"Mileage: 79,634 miles",Sedan,4 Cyl,2013 Hyundai Accent GLS,WashingtonDC
"Used 2016 Land Rover Discovery Sport HSE with 4WD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Power Windows","$36,857 ",Gray,"Mileage: 15,085 miles",SUV,4 Cyl,2016 Land Rover Discovery Sport HSE,WashingtonDC
"Used 2015 Lexus RX 350 with AWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$31,664 ",Gray,"Mileage: 51,103 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2013 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering","$18,629 ",Silver,"Mileage: 27,442 miles",SUV,4 Cyl,2013 Toyota RAV4 XLE,WashingtonDC
"Used 2015 Lexus RX 350 with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$31,830 ",Black,"Mileage: 52,207 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2015 Lexus RX 350 with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$32,948 ",Brown,"Mileage: 44,512 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2014 BMW 3 Series 335i with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3","$29,992 ",Blue,"Mileage: 24,157 miles",Sedan,6 Cyl,2014 BMW 3 Series 335i,WashingtonDC
"Used 2015 Lexus NX 300h with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning","$38,969 ",Silver,"Mileage: 17,218 miles",SUV,4 Cyl,2015 Lexus NX 300h,WashingtonDC
"Used 2014 Lexus RX 350 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$25,893 ",Black,"Mileage: 73,503 miles",SUV,6 Cyl,2014 Lexus RX 350,WashingtonDC
"Used 2016 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio","$34,157 ",Black,"Mileage: 3,552 miles",Sedan,6 Cyl,2016 Lexus ES 350,WashingtonDC
"Used 2015 Lexus RX 350 with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$33,439 ",Blue,"Mileage: 48,035 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2016 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$18,991 ",White,"Mileage: 18,521 miles",Hatchback,4 Cyl,2016 Toyota Prius Two,WashingtonDC
"Used 2017 Toyota Corolla SE with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats","$15,995 ",Black,"Mileage: 6,580 miles",Sedan,4 Cyl,2017 Toyota Corolla SE,WashingtonDC
"Used 2016 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers","$30,995 ",Beige,"Mileage: 15,661 miles",Sedan,6 Cyl,2016 Lexus ES 350,WashingtonDC
"Used 2015 Ford Escape S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$13,995 ",White,"Mileage: 34,086 miles",SUV,4 Cyl,2015 Ford Escape S,WashingtonDC
"Used 2007 Honda Accord LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster","$6,995 ",Silver,"Mileage: 100,124 miles",Sedan,4 Cyl,2007 Honda Accord LX,WashingtonDC
"Used 2015 Hyundai Sonata SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$14,420 ",Unspecified,"Mileage: 25,263 miles",Sedan,4 Cyl,2015 Hyundai Sonata SE,WashingtonDC
"Used 2014 Chevrolet Cruze LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$12,589 ",Beige,"Mileage: 12,955 miles",Sedan,4 Cyl,2014 Chevrolet Cruze LT,WashingtonDC
"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$11,149 ",Unspecified,"Mileage: 22,176 miles",Sedan,4 Cyl,2014 Ford Focus SE,WashingtonDC
"Used 2012 Hyundai Veloster with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$10,218 ",Unspecified,"Mileage: 39,136 miles",Hatchback,4 Cyl,2012 Hyundai Veloster,WashingtonDC
"Used 2012 Hyundai Sonata GLS with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$8,303 ",Unspecified,"Mileage: 102,331 miles",Sedan,4 Cyl,2012 Hyundai Sonata GLS,WashingtonDC
"Used 2014 Ford Explorer XLT with FWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$18,879 ",Unspecified,"Mileage: 75,819 miles",SUV,6 Cyl,2014 Ford Explorer XLT,WashingtonDC
"Used 2014 BMW 5 Series 535i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$30,990 ",Black,"Mileage: 29,754 miles",Sedan,6 Cyl,2014 BMW 5 Series 535i xDrive,WashingtonDC
"Used 2014 Porsche Panamera with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM","$48,900 ",Blue,"Mileage: 36,053 miles",Sedan,6 Cyl,2014 Porsche Panamera,WashingtonDC
"Used 2015 Jeep Cherokee Latitude with 4WD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats, Power Steering","$17,700 ",Silver,"Mileage: 26,964 miles",SUV,4 Cyl,2015 Jeep Cherokee Latitude,WashingtonDC
"Used 2015 Lexus RX 350 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio","$31,900 ",Brown,"Mileage: 35,533 miles",SUV,6 Cyl,2015 Lexus RX 350,WashingtonDC
"Used 2015 Mercedes-Benz S-Class S 550 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering","$65,000 ",Silver,"Mileage: 29,927 miles",Sedan,8 Cyl,2015 Mercedes-Benz S-Class S 550,WashingtonDC
"Used 2015 Mercedes-Benz GLK 350 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering","$32,900 ",Black,"Mileage: 19,921 miles",SUV,6 Cyl,2015 Mercedes-Benz GLK 350,WashingtonDC
"Used 2014 BMW X6 xDrive50i with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering","$43,500 ",Black,"Mileage: 23,246 miles",SUV,8 Cyl,2014 BMW X6 xDrive50i,WashingtonDC
"Used 2015 Mercedes-Benz GLK 350 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering","$30,995 ",Black,"Mileage: 31,880 miles",SUV,6 Cyl,2015 Mercedes-Benz GLK 350,WashingtonDC
"Used 2015 Mercedes-Benz C-Class C 300 with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$29,900 ",White,"Mileage: 36,917 miles",Sedan,4 Cyl,2015 Mercedes-Benz C-Class C 300,WashingtonDC
"Used 2006 Chevrolet Equinox LT with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Windows, AM/FM","$6,965 ",Black,"Mileage: 86,932 miles",SUV,6 Cyl,2006 Chevrolet Equinox LT,WashingtonDC
